year	month	litter_mgC/cm3/mon
2009	1	0.0548
2009	2	0.1698
2009	3	0.1625
2009	4	0.2554
2009	5	0.2430
2009	6	0.2039
2009	7	0.3584
2009	8	0.3905
2009	9	0.5986
2009	10	0.1564
2009	11	0.1630
2009	12	0.0960
2010	1	0.0666
2010	2	0.1411
2010	3	0.3473
2010	4	0.2643
2010	5	0.2567
2010	6	0.2023
2010	7	0.2136
2010	8	0.3847
2010	9	0.2814
2010	10	0.2149
2010	11	0.1581
2010	12	0.1502
2011	1	0.0601
2011	2	0.1061
2011	3	0.1357
2011	4	0.4272
2011	5	0.3735
2011	6	0.2789
2011	7	0.2047
2011	8	0.3690
2011	9	0.2904
2011	10	0.4987
2011	11	0.2613
2011	12	0.0947
2012	1	0.0541
2012	2	0.1445
2012	3	0.3451
2012	4	0.5149
2012	5	0.3417
2012	6	0.3418
2012	7	1.5560
2012	8	0.5908
2012	9	0.2669
2012	10	0.3370
2012	11	0.2297
2012	12	0.0594
