year	month	litter_mgC/cm3/mon
2009	1	0.1760 
2009	2	0.3836 
2009	3	0.1219 
2009	4	0.1030 
2009	5	0.2840 
2009	6	0.1488 
2009	7	0.4159 
2009	8	0.3713 
2009	9	0.8665 
2009	10	0.2799 
2009	11	0.3529 
2009	12	0.1491 
2010	1	0.2395 
2010	2	0.4412 
2010	3	0.2495 
2010	4	0.1721 
2010	5	0.1878 
2010	6	0.3402 
2010	7	0.3130 
2010	8	0.4405 
2010	9	0.2949 
2010	10	0.3430 
2010	11	0.1673 
2010	12	0.3268 
2011	1	0.2158 
2011	2	0.2598 
2011	3	0.1183 
2011	4	0.3167 
2011	5	0.3528 
2011	6	0.3397 
2011	7	0.4430 
2011	8	0.4929 
2011	9	0.3973 
2011	10	0.6502 
2011	11	0.1591 
2011	12	0.1658 
2012	1	0.3223 
2012	2	0.2163 
2012	3	0.2786 
2012	4	0.7650 
2012	5	0.2620 
2012	6	0.2746 
2012	7	0.4310 
2012	8	1.3328 
2012	9	0.2094 
2012	10	0.3140 
2012	11	0.4101 
2012	12	0.2692
